id,desc
1,3D Computer Vision Researcher
2,AI Developer
3,AI Programmer
4,AI Scientist
5,Analytics Engineer
6,Applied Data Scientist
7,Applied Machine Learning Engineer
8,Applied Machine Learning Scientist
9,Applied Scientist
10,Autonomous Vehicle Technician
11,Azure Data Engineer
12,BI Analyst
13,BI Data Analyst
14,BI Data Engineer
15,BI Developer
16,Big Data Architect
17,Big Data Engineer
18,Business Data Analyst
19,Business Intelligence Engineer
20,Cloud Data Architect
21,Cloud Data Engineer
22,Cloud Database Engineer
23,Compliance Data Analyst
24,Computer Vision Engineer
25,Computer Vision Software Engineer
26,Data Analyst
27,Data Analytics Consultant
28,Data Analytics Engineer
29,Data Analytics Lead
30,Data Analytics Manager
31,Data Analytics Specialist
32,Data Architect
33,Data DevOps Engineer
34,Data Engineer
35,Data Infrastructure Engineer
36,Data Lead
37,Data Management Specialist
38,Data Manager
39,Data Modeler
40,Data Operations Analyst
41,Data Operations Engineer
42,Data Quality Analyst
43,Data Science Consultant
44,Data Science Engineer
45,Data Science Lead
46,Data Science Manager
47,Data Science Tech Lead
48,Data Scientist
49,Data Scientist Lead
50,Data Specialist
51,Data Strategist
52,Deep Learning Engineer
53,Deep Learning Researcher
54,Director of Data Science
55,ETL Developer
56,ETL Engineer
57,Finance Data Analyst
58,Financial Data Analyst
59,Head of Data
60,Head of Data Science
61,Head of Machine Learning
62,Insight Analyst
63,Lead Data Analyst
64,Lead Data Engineer
65,Lead Data Scientist
66,Lead Machine Learning Engineer
67,Machine Learning Developer
68,Machine Learning Engineer
69,Machine Learning Infrastructure Engineer
70,Machine Learning Manager
71,Machine Learning Research Engineer
72,Machine Learning Researcher
73,Machine Learning Scientist
74,Machine Learning Software Engineer
75,Manager Data Management
76,Marketing Data Analyst
77,Marketing Data Engineer
78,ML Engineer
79,MLOps Engineer
80,NLP Engineer
81,Power BI Developer
82,Principal Data Analyst
83,Principal Data Architect
84,Principal Data Engineer
85,Principal Data Scientist
86,Principal Machine Learning Engineer
87,Product Data Analyst
88,Product Data Scientist
89,Research Engineer
90,Research Scientist
91,Software Data Engineer
92,Staff Data Analyst
93,Staff Data Scientist